,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
31,Marketing and Distribution-050900,201,168,116,83.58%,57.71%,194,150,107,77.32%,55.15%,American River Total
32,Office Technology/Office Computer Applications-051400,179,157,127,87.71%,70.95%,109,88,80,80.73%,73.39%,American River Total
33,Real Estate-051100,351,288,249,82.05%,70.94%,246,197,159,80.08%,64.63%,American River Total
34,Sales and Salesmanship-050940,0,0,0,0,0,38,31,23,81.58%,60.53%,American River Total
35,Small Business and Entrepreneurship-050640,203,157,124,77.34%,61.08%,167,112,92,67.07%,55.09%,American River Total
36,Tax Studies-050210,192,163,131,84.90%,68.23%,116,86,74,74.14%,63.79%,American River Total
37,Non Distance Education Methods Total,445,379,335,85.17%,75.28%,492,417,341,84.76%,69.31%,American River Total
38,Accounting-050200,269,219,201,81.41%,74.72%,216,179,159,82.87%,73.61%,American River Total
39,Business Administration-050500,90,79,65,87.78%,72.22%,107,91,76,85.05%,71.03%,American River Total
40,"Business and Commerce, General-050100",86,81,69,94.19%,80.23%,162,142,102,87.65%,62.96%,American River Total
41,Real Estate-051100,0,0,0,0,0,7,5,4,71.43%,57.14%,American River Total
42,Antelope Valley Total,"2,223","2,005","1,614",90.19%,72.60%,"2,309","2,072","1,692",89.74%,73.28%,Antelope Valley Total
43,Delayed Interaction (Internet Based) Total,"1,577","1,438","1,166",91.19%,73.94%,"1,754","1,592","1,299",90.76%,74.06%,Antelope Valley Total
44,Accounting-050200,164,147,123,89.63%,75.00%,220,185,146,84.09%,66.36%,Antelope Valley Total
45,Business Administration-050500,270,244,167,90.37%,61.85%,234,219,160,93.59%,68.38%,Antelope Valley Total
46,"Business and Commerce, General-050100",360,336,285,93.33%,79.17%,399,361,292,90.48%,73.18%,Antelope Valley Total
47,Business Management-050600,127,110,96,86.61%,75.59%,132,120,103,90.91%,78.03%,Antelope Valley Total
48,E-Commerce (Business emphasis)-050970,22,12,10,54.55%,45.45%,26,24,19,92.31%,73.08%,Antelope Valley Total
49,Marketing and Distribution-050900,80,76,62,95.00%,77.50%,114,110,81,96.49%,71.05%,Antelope Valley Total
0,Office Management-051440,425,391,330,92.00%,77.65%,473,429,377,90.70%,79.70%,Antelope Valley Total
1,Office Technology/Office Computer Applications-051400,83,81,62,97.59%,74.70%,73,70,60,95.89%,82.19%,Antelope Valley Total
2,Real Estate-051100,25,23,20,92.00%,80.00%,60,55,44,91.67%,73.33%,Antelope Valley Total
3,Small Business and Entrepreneurship-050640,21,18,11,85.71%,52.38%,23,19,17,82.61%,73.91%,Antelope Valley Total
4,Non Distance Education Methods Total,646,567,448,87.77%,69.35%,555,480,393,86.49%,70.81%,Antelope Valley Total
5,Accounting-050200,130,102,89,78.46%,68.46%,98,86,71,87.76%,72.45%,Antelope Valley Total
6,Business Administration-050500,53,49,39,92.45%,73.58%,105,84,61,80.00%,58.10%,Antelope Valley Total
7,"Business and Commerce, General-050100",272,232,168,85.29%,61.76%,224,190,153,84.82%,68.30%,Antelope Valley Total
8,Business Management-050600,20,20,17,100.00%,85.00%,0,0,0,0,0,Antelope Valley Total
9,Real Estate-051100,171,164,135,95.91%,78.95%,128,120,108,93.75%,84.38%,Antelope Valley Total
10,Bakersfield Total,"3,189","2,815","2,388",88.27%,74.88%,"3,051","2,689","2,289",88.14%,75.02%,Bakersfield Total
11,Delayed Interaction (Internet Based) Total,"1,929","1,665","1,457",86.31%,75.53%,"1,887","1,676","1,444",88.82%,76.52%,Bakersfield Total
12,Accounting-050200,581,508,460,87.44%,79.17%,622,554,480,89.07%,77.17%,Bakersfield Total
13,"Business and Commerce, General-050100",924,800,677,86.58%,73.27%,783,680,556,86.85%,71.01%,Bakersfield Total
14,Business Management-050600,110,92,80,83.64%,72.73%,86,63,57,73.26%,66.28%,Bakersfield Total
15,Legal Office Technology-051410,26,22,19,84.62%,73.08%,0,0,0,0,0,Bakersfield Total
16,Logistics and Materials Transportation-051000,25,22,17,88.00%,68.00%,0,0,0,0,0,Bakersfield Total
17,Marketing and Distribution-050900,1,1,1,100.00%,100.00%,0,0,0,0,0,Bakersfield Total
18,Office Management-051440,0,0,0,0,0,41,35,31,85.37%,75.61%,Bakersfield Total
19,Office Technology/Office Computer Applications-051400,237,202,190,85.23%,80.17%,331,325,307,98.19%,92.75%,Bakersfield Total
20,Small Business and Entrepreneurship-050640,25,18,13,72.00%,52.00%,24,19,13,79.17%,54.17%,Bakersfield Total
21,Non Distance Education Methods Total,"1,207","1,100",891,91.14%,73.82%,"1,051",924,779,87.92%,74.12%,Bakersfield Total
22,Accounting-050200,352,313,250,88.92%,71.02%,252,222,175,88.10%,69.44%,Bakersfield Total
23,Business Administration-050500,23,22,20,95.65%,86.96%,61,53,44,86.89%,72.13%,Bakersfield Total
24,"Business and Commerce, General-050100",684,622,481,90.94%,70.32%,589,512,430,86.93%,73.01%,Bakersfield Total
25,Business Management-050600,16,14,13,87.50%,81.25%,0,0,0,0,0,Bakersfield Total
26,Logistics and Materials Transportation-051000,53,51,51,96.23%,96.23%,74,63,60,85.14%,81.08%,Bakersfield Total
27,Office Technology/Office Computer Applications-051400,79,78,76,98.73%,96.20%,26,25,23,96.15%,88.46%,Bakersfield Total
28,Small Business and Entrepreneurship-050640,0,0,0,0,0,49,49,47,100.00%,95.92%,Bakersfield Total
29,Simultaneous Interaction (Internet Based) Total,53,50,40,94.34%,75.47%,113,89,66,78.76%,58.41%,Bakersfield Total
30,Accounting-050200,0,0,0,0,0,64,54,39,84.38%,60.94%,Bakersfield Total
31,"Business and Commerce, General-050100",42,41,32,97.62%,76.19%,32,22,15,68.75%,46.88%,Bakersfield Total
32,Business Management-050600,0,0,0,0,0,17,13,12,76.47%,70.59%,Bakersfield Total
33,Logistics and Materials Transportation-051000,11,9,8,81.82%,72.73%,0,0,0,0,0,Bakersfield Total
34,Barstow Total,603,547,393,90.71%,65.17%,638,557,390,87.30%,61.13%,Barstow Total
35,Delayed Interaction (Internet Based) Total,587,531,383,90.46%,65.25%,605,526,372,86.94%,61.49%,Barstow Total
36,Accounting-050200,117,99,76,84.62%,64.96%,192,161,127,83.85%,66.15%,Barstow Total
37,Business Administration-050500,107,103,68,96.26%,63.55%,77,72,43,93.51%,55.84%,Barstow Total
38,"Business and Commerce, General-050100",163,149,102,91.41%,62.58%,153,130,88,84.97%,57.52%,Barstow Total
39,Business Management-050600,64,57,48,89.06%,75.00%,58,53,40,91.38%,68.97%,Barstow Total
40,Logistics and Materials Transportation-051000,69,67,43,97.10%,62.32%,13,13,13,100.00%,100.00%,Barstow Total
41,Marketing and Distribution-050900,0,0,0,0,0,59,58,40,98.31%,67.80%,Barstow Total
42,Office Technology/Office Computer Applications-051400,10,10,8,100.00%,80.00%,0,0,0,0,0,Barstow Total
43,Small Business and Entrepreneurship-050640,29,23,19,79.31%,65.52%,53,39,21,73.58%,39.62%,Barstow Total
44,Tax Studies-050210,28,23,19,82.14%,67.86%,0,0,0,0,0,Barstow Total
45,Non Distance Education Methods Total,13,13,9,100.00%,69.23%,25,23,11,92.00%,44.00%,Barstow Total
46,Accounting-050200,13,13,9,100.00%,69.23%,16,15,7,93.75%,43.75%,Barstow Total
47,Small Business and Entrepreneurship-050640,0,0,0,0,0,9,8,4,88.89%,44.44%,Barstow Total
48,Simultaneous Interaction (Internet Based) Total,3,3,1,100.00%,33.33%,8,8,7,100.00%,87.50%,Barstow Total
49,Accounting-050200,3,3,1,100.00%,33.33%,8,8,7,100.00%,87.50%,Barstow Total
0,Berkeley City Total,423,342,261,80.85%,61.70%,420,352,281,83.81%,66.90%,Berkeley City Total
1,Delayed Interaction (Internet Based) Total,27,20,14,74.07%,51.85%,0,0,0,0,0,Berkeley City Total
2,Accounting-050200,27,20,14,74.07%,51.85%,0,0,0,0,0,Berkeley City Total
3,Non Distance Education Methods Total,257,207,155,80.54%,60.31%,280,235,194,83.93%,69.29%,Berkeley City Total
4,Accounting-050200,65,42,35,64.62%,53.85%,91,67,52,73.63%,57.14%,Berkeley City Total
5,Banking and Finance-050400,0,0,0,0,0,22,22,20,100.00%,90.91%,Berkeley City Total
6,"Business and Commerce, General-050100",137,121,92,88.32%,67.15%,105,84,66,80.00%,62.86%,Berkeley City Total
7,Marketing and Distribution-050900,24,20,15,83.33%,62.50%,62,62,56,100.00%,90.32%,Berkeley City Total
8,Small Business and Entrepreneurship-050640,31,24,13,77.42%,41.94%,0,0,0,0,0,Berkeley City Total
9,Simultaneous Interaction (Internet Based) Total,139,115,92,82.73%,66.19%,140,117,87,83.57%,62.14%,Berkeley City Total
10,Banking and Finance-050400,0,0,0,0,0,35,32,23,91.43%,65.71%,Berkeley City Total
11,"Business and Commerce, General-050100",118,99,81,83.90%,68.64%,62,51,41,82.26%,66.13%,Berkeley City Total
12,Business Management-050600,0,0,0,0,0,18,14,9,77.78%,50.00%,Berkeley City Total
13,Management Development and Supervision-050630,21,16,11,76.19%,52.38%,0,0,0,0,0,Berkeley City Total
14,Small Business and Entrepreneurship-050640,0,0,0,0,0,25,20,14,80.00%,56.00%,Berkeley City Total
15,Butte Total,"2,307","2,090","1,641",90.59%,71.13%,"2,213","1,997","1,594",90.24%,72.03%,Butte Total
16,Delayed Interaction (Internet Based) Total,"1,792","1,621","1,300",90.46%,72.54%,"1,608","1,440","1,127",89.55%,70.09%,Butte Total
17,Accounting-050200,372,305,220,81.99%,59.14%,266,211,135,79.32%,50.75%,Butte Total
18,Advertising-050910,31,27,20,87.10%,64.52%,26,25,14,96.15%,53.85%,Butte Total
19,Banking and Finance-050400,41,30,27,73.17%,65.85%,38,37,31,97.37%,81.58%,Butte Total
20,"Business and Commerce, General-050100",407,383,302,94.10%,74.20%,335,313,235,93.43%,70.15%,Butte Total
21,Business Management-050600,67,62,49,92.54%,73.13%,31,27,27,87.10%,87.10%,Butte Total
22,E-Commerce (Business emphasis)-050970,18,17,14,94.44%,77.78%,24,19,13,79.17%,54.17%,Butte Total
23,Escrow-051110,19,19,15,100.00%,78.95%,26,25,19,96.15%,73.08%,Butte Total
24,Legal Office Technology-051410,14,8,7,57.14%,50.00%,8,7,7,87.50%,87.50%,Butte Total
25,Marketing and Distribution-050900,0,0,0,0,0,67,59,45,88.06%,67.16%,Butte Total
26,Medical Office Technology-051420,130,118,100,90.77%,76.92%,111,106,89,95.50%,80.18%,Butte Total
27,Office Technology/Office Computer Applications-051400,453,424,369,93.60%,81.46%,471,427,368,90.66%,78.13%,Butte Total
28,Real Estate-051100,80,78,60,97.50%,75.00%,116,111,85,95.69%,73.28%,Butte Total
29,Sales and Salesmanship-050940,31,27,21,87.10%,67.74%,34,23,17,67.65%,50.00%,Butte Total
30,Small Business and Entrepreneurship-050640,69,67,52,97.10%,75.36%,0,0,0,0,0,Butte Total
31,Tax Studies-050210,60,56,44,93.33%,73.33%,55,50,42,90.91%,76.36%,Butte Total
32,Non Distance Education Methods Total,515,469,341,91.07%,66.21%,605,557,467,92.07%,77.19%,Butte Total
33,Accounting-050200,180,165,129,91.67%,71.67%,219,198,165,90.41%,75.34%,Butte Total
34,"Business and Commerce, General-050100",152,140,95,92.11%,62.50%,106,96,77,90.57%,72.64%,Butte Total
35,Business Management-050600,44,36,21,81.82%,47.73%,49,46,33,93.88%,67.35%,Butte Total
36,Marketing and Distribution-050900,30,26,22,86.67%,73.33%,0,0,0,0,0,Butte Total
37,Medical Office Technology-051420,25,24,20,96.00%,80.00%,136,132,128,97.06%,94.12%,Butte Total
38,Office Technology/Office Computer Applications-051400,57,51,37,89.47%,64.91%,47,42,27,89.36%,57.45%,Butte Total
39,Real Estate-051100,27,27,17,100.00%,62.96%,14,11,9,78.57%,64.29%,Butte Total
40,Small Business and Entrepreneurship-050640,0,0,0,0,0,34,32,28,94.12%,82.35%,Butte Total
41,Cabrillo Total,"1,452","1,199",962,82.58%,66.25%,636,538,429,84.59%,67.45%,Cabrillo Total
42,Delayed Interaction (Internet Based) Total,"1,314","1,082",865,82.34%,65.83%,438,364,299,83.11%,68.26%,Cabrillo Total
43,Accounting-050200,410,372,316,90.73%,77.07%,225,192,163,85.33%,72.44%,Cabrillo Total
44,Banking and Finance-050400,43,25,16,58.14%,37.21%,0,0,0,0,0,Cabrillo Total
45,"Business and Commerce, General-050100",448,374,282,83.48%,62.95%,201,163,128,81.09%,63.68%,Cabrillo Total
46,Marketing and Distribution-050900,32,26,20,81.25%,62.50%,0,0,0,0,0,Cabrillo Total
47,Office Technology/Office Computer Applications-051400,358,263,218,73.46%,60.89%,12,9,8,75.00%,66.67%,Cabrillo Total
48,Small Business and Entrepreneurship-050640,23,22,13,95.65%,56.52%,0,0,0,0,0,Cabrillo Total
49,Non Distance Education Methods Total,56,44,39,78.57%,69.64%,0,0,0,0,0,Cabrillo Total
0,"Business and Commerce, General-050100",56,44,39,78.57%,69.64%,0,0,0,0,0,Cabrillo Total
1,Simultaneous Interaction (Internet Based) Total,82,73,58,89.02%,70.73%,198,174,130,87.88%,65.66%,Cabrillo Total
2,Accounting-050200,0,0,0,0,0,107,96,75,89.72%,70.09%,Cabrillo Total
3,"Business and Commerce, General-050100",67,60,50,89.55%,74.63%,91,78,55,85.71%,60.44%,Cabrillo Total
4,E-Commerce (Business emphasis)-050970,15,13,8,86.67%,53.33%,0,0,0,0,0,Cabrillo Total
5,Canada Total,"1,068",875,786,81.93%,73.60%,"1,219","1,022",895,83.84%,73.42%,Canada Total
6,Delayed Interaction (Internet Based) Total,215,164,139,76.28%,64.65%,309,246,218,79.61%,70.55%,Canada Total
7,Accounting-050200,15,15,13,100.00%,86.67%,41,32,23,78.05%,56.10%,Canada Total
8,Banking and Finance-050400,0,0,0,0,0,10,9,7,90.00%,70.00%,Canada Total
9,"Business and Commerce, General-050100",112,79,66,70.54%,58.93%,111,87,81,78.38%,72.97%,Canada Total
10,Business Management-050600,9,7,7,77.78%,77.78%,0,0,0,0,0,Canada Total
11,Marketing and Distribution-050900,29,24,23,82.76%,79.31%,29,23,22,79.31%,75.86%,Canada Total
12,Office Technology/Office Computer Applications-051400,35,27,19,77.14%,54.29%,63,52,46,82.54%,73.02%,Canada Total
13,Small Business and Entrepreneurship-050640,15,12,11,80.00%,73.33%,27,20,20,74.07%,74.07%,Canada Total
14,Tax Studies-050210,0,0,0,0,0,28,23,19,82.14%,67.86%,Canada Total
15,Non Distance Education Methods Total,853,711,647,83.35%,75.85%,910,776,677,85.27%,74.40%,Canada Total
16,Accounting-050200,189,163,144,86.24%,76.19%,168,149,122,88.69%,72.62%,Canada Total
17,Banking and Finance-050400,60,50,49,83.33%,81.67%,76,55,50,72.37%,65.79%,Canada Total
18,"Business and Commerce, General-050100",284,218,190,76.76%,66.90%,477,411,363,86.16%,76.10%,Canada Total
19,Business Management-050600,32,22,22,68.75%,68.75%,31,19,17,61.29%,54.84%,Canada Total
20,International Business and Trade-050800,40,33,33,82.50%,82.50%,0,0,0,0,0,Canada Total
21,Marketing and Distribution-050900,119,112,110,94.12%,92.44%,0,0,0,0,0,Canada Total
22,Office Technology/Office Computer Applications-051400,123,108,94,87.80%,76.42%,147,132,115,89.80%,78.23%,Canada Total
23,Small Business and Entrepreneurship-050640,6,5,5,83.33%,83.33%,11,10,10,90.91%,90.91%,Canada Total
24,Canyons Total,"2,303","1,951","1,603",84.72%,69.60%,"2,042","1,801","1,494",88.20%,73.16%,Canyons Total
25,Delayed Interaction (Internet Based) Total,"2,095","1,761","1,444",84.06%,68.93%,"1,761","1,562","1,291",88.70%,73.31%,Canyons Total
26,Accounting-050200,544,487,426,89.52%,78.31%,497,435,360,87.53%,72.43%,Canyons Total
27,Advertising-050910,31,27,21,87.10%,67.74%,26,26,22,100.00%,84.62%,Canyons Total
28,Banking and Finance-050400,60,57,33,95.00%,55.00%,48,43,38,89.58%,79.17%,Canyons Total
29,Business Administration-050500,270,231,189,85.56%,70.00%,262,250,218,95.42%,83.21%,Canyons Total
30,"Business and Commerce, General-050100",523,414,351,79.16%,67.11%,260,218,184,83.85%,70.77%,Canyons Total
31,Business Management-050600,244,189,159,77.46%,65.16%,231,198,156,85.71%,67.53%,Canyons Total
32,E-Commerce (Business emphasis)-050970,48,41,30,85.42%,62.50%,79,70,58,88.61%,73.42%,Canyons Total
33,Escrow-051110,38,37,23,97.37%,60.53%,0,0,0,0,0,Canyons Total
34,Marketing and Distribution-050900,96,71,49,73.96%,51.04%,89,79,60,88.76%,67.42%,Canyons Total
35,Medical Office Technology-051420,20,12,11,60.00%,55.00%,13,9,8,69.23%,61.54%,Canyons Total
36,Office Technology/Office Computer Applications-051400,28,17,17,60.71%,60.71%,73,64,55,87.67%,75.34%,Canyons Total
37,Real Estate-051100,64,62,35,96.88%,54.69%,86,80,63,93.02%,73.26%,Canyons Total
38,Retail Store Operations and Management-050650,9,9,9,100.00%,100.00%,11,9,6,81.82%,54.55%,Canyons Total
39,Sales and Salesmanship-050940,27,21,17,77.78%,62.96%,31,31,19,100.00%,61.29%,Canyons Total
40,Small Business and Entrepreneurship-050640,93,86,74,92.47%,79.57%,55,50,44,90.91%,80.00%,Canyons Total
41,Non Distance Education Methods Total,185,168,141,90.81%,76.22%,268,226,195,84.33%,72.76%,Canyons Total
42,Accounting-050200,36,35,31,97.22%,86.11%,112,98,89,87.50%,79.46%,Canyons Total
43,Business Administration-050500,0,0,0,0,0,16,14,14,87.50%,87.50%,Canyons Total
44,"Business and Commerce, General-050100",96,84,74,87.50%,77.08%,115,93,74,80.87%,64.35%,Canyons Total
45,Office Technology/Office Computer Applications-051400,1,1,1,100.00%,100.00%,3,3,3,100.00%,100.00%,Canyons Total
46,Real Estate-051100,52,48,35,92.31%,67.31%,22,18,15,81.82%,68.18%,Canyons Total
47,Simultaneous Interaction (Internet Based) Total,23,22,18,95.65%,78.26%,13,13,8,100.00%,61.54%,Canyons Total
48,Office Technology/Office Computer Applications-051400,9,8,7,88.89%,77.78%,0,0,0,0,0,Canyons Total
49,Real Estate-051100,14,14,11,100.00%,78.57%,13,13,8,100.00%,61.54%,Canyons Total
0,Cerritos Total,"6,825","5,553","4,734",81.36%,69.36%,"6,472","5,336","4,469",82.45%,69.05%,Cerritos Total
1,Delayed Interaction (Internet Based) Total,"5,766","4,670","3,975",80.99%,68.94%,"5,778","4,749","3,974",82.19%,68.78%,Cerritos Total
2,Accounting-050200,692,580,485,83.82%,70.09%,681,528,441,77.53%,64.76%,Cerritos Total
3,Banking and Finance-050400,181,145,118,80.11%,65.19%,207,182,155,87.92%,74.88%,Cerritos Total
4,Business Administration-050500,341,269,245,78.89%,71.85%,263,205,180,77.95%,68.44%,Cerritos Total
5,"Business and Commerce, General-050100",0,0,0,0,0,17,16,14,94.12%,82.35%,Cerritos Total
6,Business Management-050600,"3,374","2,759","2,349",81.77%,69.62%,"3,424","2,887","2,426",84.32%,70.85%,Cerritos Total
7,International Business and Trade-050800,118,94,86,79.66%,72.88%,138,102,78,73.91%,56.52%,Cerritos Total
8,Marketing and Distribution-050900,403,321,282,79.65%,69.98%,296,225,189,76.01%,63.85%,Cerritos Total
9,Office Technology/Office Computer Applications-051400,290,239,205,82.41%,70.69%,252,193,170,76.59%,67.46%,Cerritos Total
10,Real Estate-051100,342,248,192,72.51%,56.14%,479,399,312,83.30%,65.14%,Cerritos Total
11,Small Business and Entrepreneurship-050640,25,15,13,60.00%,52.00%,21,12,9,57.14%,42.86%,Cerritos Total
12,Non Distance Education Methods Total,"1,059",883,759,83.38%,71.67%,694,587,495,84.58%,71.33%,Cerritos Total
13,Accounting-050200,455,375,331,82.42%,72.75%,399,339,286,84.96%,71.68%,Cerritos Total
14,Banking and Finance-050400,17,14,13,82.35%,76.47%,21,10,8,47.62%,38.10%,Cerritos Total
15,Business Administration-050500,328,273,237,83.23%,72.26%,119,102,87,85.71%,73.11%,Cerritos Total
16,Business Management-050600,108,97,89,89.81%,82.41%,88,81,75,92.05%,85.23%,Cerritos Total
17,Marketing and Distribution-050900,19,17,14,89.47%,73.68%,16,14,14,87.50%,87.50%,Cerritos Total
18,Office Technology/Office Computer Applications-051400,3,3,1,100.00%,33.33%,5,4,2,80.00%,40.00%,Cerritos Total
19,Real Estate-051100,129,104,74,80.62%,57.36%,46,37,23,80.43%,50.00%,Cerritos Total
20,Cerro Coso Total,753,666,542,88.45%,71.98%,648,526,409,81.17%,63.12%,Cerro Coso Total
21,Delayed Interaction (Internet Based) Total,569,487,381,85.59%,66.96%,571,454,353,79.51%,61.82%,Cerro Coso Total
22,Business Administration-050500,72,55,46,76.39%,63.89%,73,58,50,79.45%,68.49%,Cerro Coso Total
23,"Business and Commerce, General-050100",177,151,115,85.31%,64.97%,97,86,69,88.66%,71.13%,Cerro Coso Total
24,Management Development and Supervision-050630,45,39,31,86.67%,68.89%,42,34,27,80.95%,64.29%,Cerro Coso Total
25,Office Technology/Office Computer Applications-051400,275,242,189,88.00%,68.73%,319,247,178,77.43%,55.80%,Cerro Coso Total
26,Small Business and Entrepreneurship-050640,0,0,0,0,0,40,29,29,72.50%,72.50%,Cerro Coso Total
27,Non Distance Education Methods Total,184,179,161,97.28%,87.50%,59,57,43,96.61%,72.88%,Cerro Coso Total
28,Business Administration-050500,37,37,34,100.00%,91.89%,13,11,7,84.62%,53.85%,Cerro Coso Total
29,"Business and Commerce, General-050100",136,133,118,97.79%,86.76%,28,28,19,100.00%,67.86%,Cerro Coso Total
30,Office Technology/Office Computer Applications-051400,11,9,9,81.82%,81.82%,0,0,0,0,0,Cerro Coso Total
31,Small Business and Entrepreneurship-050640,0,0,0,0,0,18,18,17,100.00%,94.44%,Cerro Coso Total
32,Simultaneous Interaction (Internet Based) Total,0,0,0,0,0,18,15,13,83.33%,72.22%,Cerro Coso Total
33,"Business and Commerce, General-050100",0,0,0,0,0,18,15,13,83.33%,72.22%,Cerro Coso Total
34,Chabot Hayward Total,"2,740","2,354","1,994",85.91%,72.77%,"2,406","2,041","1,679",84.83%,69.78%,Chabot Hayward Total
35,Delayed Interaction (Internet Based) Total,"2,260","1,942","1,634",85.93%,72.30%,"2,072","1,740","1,434",83.98%,69.21%,Chabot Hayward Total
36,Accounting-050200,499,403,340,80.76%,68.14%,559,439,378,78.53%,67.62%,Chabot Hayward Total
37,Business Administration-050500,8,6,5,75.00%,62.50%,13,12,10,92.31%,76.92%,Chabot Hayward Total
38,"Business and Commerce, General-050100",395,329,268,83.29%,67.85%,304,231,194,75.99%,63.82%,Chabot Hayward Total
39,Business Management-050600,875,780,649,89.14%,74.17%,734,662,551,90.19%,75.07%,Chabot Hayward Total
40,International Business and Trade-050800,37,32,31,86.49%,83.78%,0,0,0,0,0,Chabot Hayward Total
41,Marketing and Distribution-050900,114,100,93,87.72%,81.58%,68,62,59,91.18%,86.76%,Chabot Hayward Total
42,Office Technology/Office Computer Applications-051400,45,34,26,75.56%,57.78%,53,41,25,77.36%,47.17%,Chabot Hayward Total
43,Real Estate-051100,230,210,193,91.30%,83.91%,246,223,169,90.65%,68.70%,Chabot Hayward Total
44,Small Business and Entrepreneurship-050640,41,35,19,85.37%,46.34%,95,70,48,73.68%,50.53%,Chabot Hayward Total
45,Tax Studies-050210,16,13,10,81.25%,62.50%,0,0,0,0,0,Chabot Hayward Total
46,Non Distance Education Methods Total,480,412,360,85.83%,75.00%,334,301,245,90.12%,73.35%,Chabot Hayward Total
47,Accounting-050200,131,118,110,90.08%,83.97%,116,109,99,93.97%,85.34%,Chabot Hayward Total
48,"Business and Commerce, General-050100",92,79,64,85.87%,69.57%,44,33,25,75.00%,56.82%,Chabot Hayward Total
49,Business Management-050600,220,189,169,85.91%,76.82%,146,137,102,93.84%,69.86%,Chabot Hayward Total
0,Marketing and Distribution-050900,24,23,15,95.83%,62.50%,18,17,14,94.44%,77.78%,Chabot Hayward Total
1,Small Business and Entrepreneurship-050640,13,3,2,23.08%,15.38%,10,5,5,50.00%,50.00%,Chabot Hayward Total
2,Chaffey Total,"3,953","3,628","2,896",91.78%,73.26%,"3,465","3,151","2,484",90.94%,71.69%,Chaffey Total
3,Delayed Interaction (Internet Based) Total,"3,393","3,111","2,481",91.69%,73.12%,"2,949","2,669","2,084",90.51%,70.67%,Chaffey Total
